filename,status,volume_rate(%),duration(s),memory(KB)
br00_001.json,partial,85.93,0.001,220
br00_002.json,partial,90.80,0.386,2160
br00_003.json,partial,67.68,0.001,207
br00_004.json,partial,68.41,0.001,131
br00_005.json,partial,80.07,0.002,275
br00_006.json,partial,69.14,0.001,139
br00_007.json,partial,69.52,0.001,97
br00_008.json,partial,76.64,0.002,198
br00_009.json,partial,71.23,0.001,120
br00_010.json,partial,77.68,0.004,361
br00_011.json,partial,68.05,0.002,161
br00_012.json,partial,69.11,0.001,109
br00_013.json,partial,82.12,0.091,1080
br00_014.json,partial,90.12,0.009,538
br00_015.json,partial,78.45,0.003,304
br00_016.json,partial,72.45,0.047,683
br00_017.json,partial,91.92,0.005,457
br00_018.json,partial,87.83,0.002,316
br00_019.json,partial,89.59,0.024,772
br00_020.json,partial,88.47,0.001,112
br00_021.json,partial,72.77,0.000,67
br00_022.json,partial,73.83,0.001,138
br00_023.json,partial,65.53,0.002,274
br00_024.json,partial,60.99,0.001,160
br00_025.json,partial,87.62,0.004,389
br00_026.json,partial,83.20,0.001,209
br00_027.json,partial,66.91,0.001,122
br00_028.json,partial,85.34,0.003,282
br00_029.json,partial,71.99,0.001,160
br00_030.json,partial,77.92,0.010,451
br00_031.json,partial,68.94,0.002,207
br00_032.json,partial,95.02,0.001,181
br00_033.json,partial,87.43,0.325,1747
br00_034.json,partial,87.13,0.029,818
br00_035.json,partial,92.82,0.008,545
br00_036.json,partial,87.05,0.133,1307
br00_037.json,partial,88.92,0.001,180
br00_038.json,partial,71.48,0.001,97
br00_039.json,partial,76.03,0.002,215
br00_040.json,partial,83.61,0.001,132
br00_041.json,partial,78.83,0.001,88
br00_042.json,partial,84.11,0.002,190
br00_043.json,partial,86.68,0.001,121
br00_044.json,partial,76.15,0.002,258
br00_045.json,partial,89.96,0.008,509
br00_046.json,partial,93.10,0.002,318
br00_047.json,partial,80.05,0.001,191
br00_048.json,partial,73.33,0.006,347
br00_049.json,partial,70.55,0.002,206
br00_050.json,partial,85.76,0.030,689
br00_051.json,partial,89.45,0.004,357
br00_052.json,partial,89.73,0.001,254
br00_053.json,partial,91.16,0.018,713
br00_054.json,partial,78.73,0.002,319
br00_055.json,partial,61.23,0.001,160
br00_056.json,partial,80.06,0.006,404
br00_057.json,partial,82.49,0.001,209
br00_058.json,partial,70.21,0.001,120
br00_059.json,partial,74.92,0.003,266
br00_060.json,partial,68.20,0.001,137
br00_061.json,partial,70.94,0.001,99
br00_062.json,partial,70.35,0.002,206
br00_063.json,partial,76.98,0.001,135
br00_064.json,partial,90.02,0.004,451
br00_065.json,partial,89.35,0.025,758
br00_066.json,partial,79.94,0.006,404
br00_067.json,partial,67.78,0.002,243
br00_068.json,partial,91.91,0.012,578
br00_069.json,partial,85.16,0.004,357
br00_070.json,partial,81.71,0.066,1011
br00_071.json,partial,66.58,0.001,115
br00_072.json,partial,74.20,0.001,81
br00_073.json,partial,77.56,0.001,203
br00_074.json,partial,81.01,0.001,114
br00_075.json,partial,70.47,0.001,238
br00_076.json,partial,85.77,0.012,537
br00_077.json,partial,91.81,0.002,297
br00_078.json,partial,80.73,0.001,174
