filename,status,volume_rate(%),duration(s),memory(KB)
br00_001.json,partial,85.93,0.002,262
br00_002.json,partial,90.80,0.348,2552
br00_003.json,partial,67.68,0.001,255
br00_004.json,partial,68.41,0.001,162
br00_005.json,partial,80.07,0.003,331
br00_006.json,partial,69.14,0.001,172
br00_007.json,partial,69.52,0.001,120
br00_008.json,partial,76.64,0.002,240
br00_009.json,partial,71.23,0.001,147
br00_010.json,partial,77.68,0.004,436
br00_011.json,partial,68.05,0.002,198
br00_012.json,partial,69.11,0.001,134
br00_013.json,partial,82.12,0.080,1293
br00_014.json,partial,90.12,0.009,637
br00_015.json,partial,78.45,0.004,367
br00_016.json,partial,72.45,0.043,833
br00_017.json,partial,91.92,0.005,540
br00_018.json,partial,87.83,0.003,376
br00_019.json,partial,89.59,0.021,915
br00_020.json,partial,88.47,0.001,135
br00_021.json,partial,72.77,0.001,83
br00_022.json,partial,73.83,0.001,169
br00_023.json,partial,65.53,0.002,340
br00_024.json,partial,60.99,0.001,199
br00_025.json,partial,87.62,0.004,462
br00_026.json,partial,83.20,0.001,251
br00_027.json,partial,66.91,0.001,152
br00_028.json,partial,85.34,0.003,337
br00_029.json,partial,71.99,0.001,196
br00_030.json,partial,77.92,0.009,545
br00_031.json,partial,68.94,0.002,254
br00_032.json,partial,95.02,0.001,214
br00_033.json,partial,87.43,0.285,2076
br00_034.json,partial,87.13,0.027,974
br00_035.json,partial,92.82,0.008,644
br00_036.json,partial,87.05,0.122,1552
br00_037.json,partial,88.92,0.001,214
br00_038.json,partial,71.48,0.001,119
br00_039.json,partial,76.03,0.002,261
br00_040.json,partial,83.61,0.001,159
br00_041.json,partial,78.83,0.001,106
br00_042.json,partial,84.11,0.002,228
br00_043.json,partial,86.68,0.001,144
br00_044.json,partial,76.15,0.002,312
br00_045.json,partial,89.96,0.007,603
br00_046.json,partial,93.10,0.002,375
br00_047.json,partial,80.05,0.001,230
br00_048.json,partial,73.33,0.006,422
br00_049.json,partial,70.55,0.002,253
br00_050.json,partial,85.76,0.027,820
br00_051.json,partial,89.45,0.004,424
br00_052.json,partial,89.73,0.002,302
br00_053.json,partial,91.16,0.017,843
br00_054.json,partial,78.73,0.002,384
br00_055.json,partial,61.23,0.001,199
br00_056.json,partial,80.06,0.006,486
br00_057.json,partial,82.49,0.002,251
br00_058.json,partial,70.21,0.001,147
br00_059.json,partial,74.92,0.003,323
br00_060.json,partial,68.20,0.001,170
br00_061.json,partial,70.94,0.001,121
br00_062.json,partial,70.35,0.002,253
br00_063.json,partial,76.98,0.001,164
br00_064.json,partial,90.02,0.004,534
br00_065.json,partial,89.35,0.023,898
br00_066.json,partial,79.94,0.006,486
br00_067.json,partial,67.78,0.002,299
br00_068.json,partial,91.91,0.011,684
br00_069.json,partial,85.16,0.004,427
br00_070.json,partial,81.71,0.060,1211
br00_071.json,partial,66.58,0.001,142
br00_072.json,partial,74.20,0.001,99
br00_073.json,partial,77.56,0.001,246
br00_074.json,partial,81.01,0.001,138
br00_075.json,partial,70.47,0.002,291
br00_076.json,partial,85.77,0.010,641
br00_077.json,partial,91.81,0.002,351
br00_078.json,partial,80.73,0.001,210
br00_079.json,partial,67.63,0.006,396
br00_080.json,partial,86.72,0.002,259
br00_081.json,partial,72.38,0.001,160
br00_082.json,partial,79.32,0.004,364
br00_083.json,partial,75.68,0.001,220
br00_084.json,partial,91.89,0.001,183
br00_085.json,partial,95.22,0.058,1486
br00_086.json,partial,85.49,0.019,786
br00_087.json,partial,80.19,0.007,534
br00_088.json,partial,79.76,0.002,253
br00_089.json,partial,64.13,0.001,136
br00_090.json,partial,78.88,0.003,382
br00_091.json,partial,65.65,0.001,169
br00_092.json,partial,79.11,0.001,125
br00_093.json,partial,73.46,0.002,295
br00_094.json,partial,79.10,0.001,163
br00_095.json,partial,86.62,0.003,465
br00_096.json,partial,83.62,0.025,878
br00_097.json,partial,77.91,0.004,412
br00_098.json,partial,80.99,0.002,274
br00_099.json,partial,94.34,0.009,645
br00_100.json,partial,66.86,0.003,305
br01_001.json,partial,75.91,0.001,225
br01_002.json,partial,86.36,0.002,277
br01_003.json,partial,74.20,0.002,240
br01_004.json,partial,81.10,0.004,353
br01_005.json,partial,78.23,0.002,265
br01_006.json,partial,84.18,0.002,295
br01_007.json,partial,82.60,0.002,231
br01_008.json,partial,91.94,0.004,384
br01_009.json,partial,70.30,0.001,184
br01_010.json,partial,87.25,0.002,252
br01_011.json,partial,77.66,0.001,196
br01_012.json,partial,82.88,0.001,213
br01_013.json,partial,89.74,0.009,558
br01_014.json,partial,86.79,0.002,242
br01_015.json,partial,82.21,0.002,231
br01_016.json,partial,88.30,0.003,326
br01_017.json,partial,89.00,0.006,436
